Team,P,F,A,Attack,Defence,Attack_Str,Defence_Str,Attack_Str_Adj,Defence_Str_Adj
Augsburg,9,12,21,1.3333333333333333,2.3333333333333335,0.8404669260700389,1.4708171206225682,0.756420233463035,1.1346303501945525
Bayern Munich,9,33,4,3.6666666666666665,0.4444444444444444,2.311284046692607,0.2801556420233463,1.6389105058365756,0.4202334630350194
Dortmund,9,15,6,1.6666666666666667,0.6666666666666666,1.0505836575875487,0.42023346303501946,0.8824902723735408,0.5042801556420233
Ein Frankfurt,9,22,19,2.4444444444444446,2.111111111111111,1.5408560311284047,1.330739299610895,1.1766536964980545,1.0505836575875487
FC Koln,9,16,12,1.7777777777777777,1.3333333333333333,1.1206225680933852,0.8404669260700389,0.9245136186770427,0.756420233463035
Freiburg,9,11,13,1.2222222222222223,1.4444444444444444,0.7704280155642024,0.9105058365758755,0.7143968871595331,0.7984435797665369
Hamburg,9,8,15,0.8888888888888888,1.6666666666666667,0.5603112840466926,1.0505836575875487,0.5883268482490271,0.8824902723735408
Heidenheim,9,8,17,0.8888888888888888,1.8888888888888888,0.5603112840466926,1.1906614785992218,0.5883268482490271,0.9665369649805448
Hoffenheim,9,18,15,2.0,1.6666666666666667,1.2607003891050583,1.0505836575875487,1.0085603112840467,0.8824902723735408
Leverkusen,9,18,14,2.0,1.5555555555555556,1.2607003891050583,0.9805447470817121,1.0085603112840467,0.8404669260700389
M'gladbach,9,10,18,1.1111111111111112,2.0,0.7003891050583658,1.2607003891050583,0.6723735408560312,1.0085603112840467
Mainz,9,10,17,1.1111111111111112,1.8888888888888888,0.7003891050583658,1.1906614785992218,0.6723735408560312,0.9665369649805448
RB Leipzig,9,19,10,2.111111111111111,1.1111111111111112,1.330739299610895,0.7003891050583658,1.0505836575875487,0.6723735408560312
St Pauli,9,8,18,0.8888888888888888,2.0,0.5603112840466926,1.2607003891050583,0.5883268482490271,1.0085603112840467
Stuttgart,9,14,10,1.5555555555555556,1.1111111111111112,0.9805447470817121,0.7003891050583658,0.8404669260700389,0.6723735408560312
Union Berlin,9,11,15,1.2222222222222223,1.6666666666666667,0.7704280155642024,1.0505836575875487,0.7143968871595331,0.8824902723735408
Werder Bremen,9,13,17,1.4444444444444444,1.8888888888888888,0.9105058365758755,1.1906614785992218,0.7984435797665369,0.9665369649805448
Wolfsburg,9,11,16,1.2222222222222223,1.7777777777777777,0.7704280155642024,1.1206225680933852,0.7143968871595331,0.9245136186770427
