date,league,competition,time,home,away
2025-11-02,ENGLAND,Premier League,16:00,West Ham,Newcastle
2025-11-02,ENGLAND,Premier League,18:30,Manchester City,Bournemouth
2025-11-02,ENGLAND,Premier League,16:00,Rennes,Strasbourg
2025-11-02,ENGLAND,Premier League,18:15,Lens,Lorient
2025-11-02,ENGLAND,Premier League,18:15,Lille,Angers
2025-11-02,ENGLAND,Premier League,18:15,Nantes,Metz
2025-11-02,ENGLAND,Premier League,18:15,Toulouse,Le Havre
2025-11-02,ENGLAND,Premier League,21:45,Brest,Lyon
2025-11-02,ENGLAND,Premier League,16:30,FC Koln,Hamburger SV
2025-11-02,ENGLAND,Premier League,18:30,Wolfsburg,Hoffenheim
2025-11-02,ENGLAND,Premier League,13:30,Verona,Inter
2025-11-02,ENGLAND,Premier League,16:00,Fiorentina,Lecce
2025-11-02,ENGLAND,Premier League,16:00,Torino,Pisa
2025-11-02,ENGLAND,Premier League,19:00,Parma,Bologna
2025-11-02,ENGLAND,Premier League,21:45,AC Milan,AS Roma
2025-11-02,ENGLAND,Premier League,13:15,Heracles,Zwolle
2025-11-02,ENGLAND,Premier League,15:30,Groningen,Twente
2025-11-02,ENGLAND,Premier League,15:30,Sparta Rotterdam,AZ Alkmaar
2025-11-02,ENGLAND,Premier League,17:45,Utrecht,Nijmegen
