date,league,competition,time,home,away
,ENGLAND,Premier League,14:30,Tottenham,Manchester Utd
,ENGLAND,Premier League,17:00,Everton,Fulham
,ENGLAND,Premier League,17:00,West Ham,Burnley
,ENGLAND,Premier League,19:30,Sunderland,Arsenal
,ENGLAND,Premier League,22:00,Chelsea,Wolves
,ENGLAND,Premier League,14:30,Blackburn,Derby
,ENGLAND,Premier League,14:30,Hull,Portsmouth
,ENGLAND,Premier League,14:30,Millwall,Preston
,ENGLAND,Premier League,17:00,Middlesbrough,Birmingham
,ENGLAND,Premier League,17:00,Norwich,Leicester
,ENGLAND,Premier League,17:00,Sheffield Utd,QPR
,ENGLAND,Premier League,17:00,Southampton,Sheffield Wed
,ENGLAND,Premier League,17:00,Stoke,Coventry
,ENGLAND,Premier League,17:00,Swansea,Ipswich
,ENGLAND,Premier League,17:00,West Brom,Oxford Utd
,ENGLAND,Premier League,17:00,Wrexham,Charlton
,ENGLAND,Premier League,14:30,Northampton,Mansfield
,ENGLAND,Premier League,14:30,Wycombe,Leyton Orient
,ENGLAND,Premier League,17:00,Blackpool,Cardiff
,ENGLAND,Premier League,17:00,Bolton,Port Vale
,ENGLAND,Premier League,17:00,Bradford City,Burton
,ENGLAND,Premier League,17:00,Doncaster,Barnsley
,ENGLAND,Premier League,17:00,Exeter,Wigan
,ENGLAND,Premier League,17:00,Huddersfield,Plymouth
,ENGLAND,Premier League,17:00,Peterborough,AFC Wimbledon
,ENGLAND,Premier League,17:00,Rotherham,Lincoln
,ENGLAND,Premier League,17:00,Stockport County,Luton
,ENGLAND,Premier League,14:30,Colchester,Bromley
,ENGLAND,Premier League,14:30,Crewe,Shrewsbury
,ENGLAND,Premier League,17:00,Barnet,MK Dons
,ENGLAND,Premier League,17:00,Barrow,Grimsby
,ENGLAND,Premier League,17:00,Bristol Rovers,Gillingham
,ENGLAND,Premier League,17:00,Chesterfield,Accrington
,ENGLAND,Premier League,17:00,Crawley,Fleetwood
,ENGLAND,Premier League,17:00,Harrogate,Oldham
,ENGLAND,Premier League,17:00,Newport,Walsall
,ENGLAND,Premier League,17:00,Salford,Cambridge Utd
,ENGLAND,Premier League,17:00,Swindon,Tranmere
,FRANCE,Ligue 1,18:00,Marseille,Brest
,FRANCE,Ligue 1,20:00,Le Havre,Nantes
,FRANCE,Ligue 1,22:05,Monaco,Lens
,FRANCE,Ligue 1,16:30,Bayer Leverkusen,Heidenheim
,FRANCE,Ligue 1,16:30,Hamburger SV,Dortmund
,FRANCE,Ligue 1,16:30,Hoffenheim,RB Leipzig
,FRANCE,Ligue 1,16:30,Union Berlin,Bayern Munich
,FRANCE,Ligue 1,19:30,B. Monchengladbach,FC Koln
,FRANCE,Ligue 1,16:00,Como,Cagliari
,FRANCE,Ligue 1,16:00,Lecce,Verona
,FRANCE,Ligue 1,19:00,Juventus,Torino
,FRANCE,Ligue 1,21:45,Parma,AC Milan
,FRANCE,Ligue 1,17:30,Excelsior,Heracles
,FRANCE,Ligue 1,19:45,FC Volendam,NAC Breda
,FRANCE,Ligue 1,21:00,Sittard,Heerenveen
,FRANCE,Ligue 1,22:00,Zwolle,Sparta Rotterdam
,FRANCE,Ligue 1,17:30,Alverca,Rio Ave
,FRANCE,Ligue 1,20:00,Tondela,Vitoria Guimaraes
,FRANCE,Ligue 1,22:30,Santa Clara,Sporting CP
,FRANCE,Ligue 1,15:00,Girona,Alaves
,FRANCE,Ligue 1,17:15,Sevilla,Osasuna
,FRANCE,Ligue 1,19:30,Atl. Madrid,Levante
,FRANCE,Ligue 1,22:00,Espanyol,Villarreal
