date,league,competition,time,home,away,status
,E2,,17:00,Burton,Blackpool,Scheduled
,E2,,17:00,Leyton Orient,Exeter,Scheduled
,E2,,17:00,Lincoln,Doncaster,Scheduled
,E2,,17:00,Luton,Rotherham,Scheduled
,E2,,17:00,Port Vale,Wycombe,Scheduled
,E3,,17:00,Accrington,Bristol Rovers,Scheduled
,E3,,17:00,Bromley,Barrow,Scheduled
,E3,,17:00,Cambridge Utd,Barnet,Scheduled
,E3,,17:00,Fleetwood,Swindon,Scheduled
,E3,,17:00,Grimsby,Chesterfield,Scheduled
,E3,,17:00,MK Dons,Salford,Scheduled
,E3,,17:00,Notts Co,Harrogate,Scheduled
,E3,,17:00,Oldham,Crewe,Scheduled
,E2,,17:00,Shrewsbury,Newport,Scheduled
,E3,,17:00,Tranmere,Cheltenham,Scheduled
,E3,,17:00,Walsall,Colchester,Scheduled
,E3,,19:30,Gillingham,Crawley,Scheduled
