Match,Home xG,Away xG,Picks
Arsenal vs Aston Villa,1.746146388920901,0.6181790453791383,1X2 Home (64.6%); BTTS No (62.0%)
Bournemouth vs Brentford,2.3535476349036974,1.778760905154781,BTTS Yes (75.1%); Over/Under 2.5 Over2.5 (77.8%)
Brighton vs Burnley,2.4573793250524956,1.2242806132131137,1X2 Home (64.0%); BTTS Yes (64.5%); Over/Under 2.5 Over2.5 (70.8%)
Chelsea vs Crystal Palace,2.741166418951051,1.812496548831599,BTTS Yes (78.1%); Over/Under 2.5 Over2.5 (82.8%)
Everton vs Fulham,1.9302723097951722,0.890881290094752,1X2 Home (61.6%)
Leeds vs Liverpool,1.3081064618304878,2.318795018230724,BTTS Yes (65.7%)
Man City vs Man United,2.6537326446735325,1.3678841321393804,1X2 Home (64.2%); BTTS Yes (69.2%); Over/Under 2.5 Over2.5 (76.0%)
Newcastle vs Nott'm Forest,1.6499737891823438,0.7377820663098172,
Sunderland vs Tottenham,1.1442706352726817,1.1474525246496352,
West Ham vs Wolves,1.9531152066446882,1.897229615781224,BTTS Yes (72.9%); Over/Under 2.5 Over2.5 (73.7%)
